parent_circuit_id,parent_circuit,original_circuit_id,original_circuit,original_category,original_circuit_path,chain_name,opt_level,opt_1,opt_2,opt_3,initial_num_qubits,initial_depth,initial_two_qubit_gates,initial_total_gates,final_num_qubits,final_depth,final_two_qubit_gates,final_total_gates,total_runtime_seconds,opt_chain
63,qft_12,63,qft_12,qft,benchmarks/ai_transpile/qasm/qft_12.qasm,,3,tket,tket,wisq_bqskit,12,90,150,360,0,0,0,0,0.0,qft_12__tket__tket__wisq_bqskit
63,qft_12,63,qft_12,qft,benchmarks/ai_transpile/qasm/qft_12.qasm,,3,tket,wisq_rules,qiskit_ai,12,90,150,360,0,0,0,0,0.0,qft_12__tket__wisq_rules__qiskit_ai
63,qft_12,63,qft_12,qft,benchmarks/ai_transpile/qasm/qft_12.qasm,,3,tket,wisq_rules,qiskit_standard,12,90,150,360,0,0,0,0,0.0,qft_12__tket__wisq_rules__qiskit_standard
63,qft_12,63,qft_12,qft,benchmarks/ai_transpile/qasm/qft_12.qasm,,3,tket,wisq_rules,tket,12,90,150,360,0,0,0,0,0.0,qft_12__tket__wisq_rules__tket
63,qft_12,63,qft_12,qft,benchmarks/ai_transpile/qasm/qft_12.qasm,,3,tket,wisq_rules,wisq_rules,12,90,150,360,0,0,0,0,0.0,qft_12__tket__wisq_rules__wisq_rules
63,qft_12,63,qft_12,qft,benchmarks/ai_transpile/qasm/qft_12.qasm,,3,tket,wisq_rules,wisq_bqskit,12,90,150,360,0,0,0,0,0.0,qft_12__tket__wisq_rules__wisq_bqskit
63,qft_12,63,qft_12,qft,benchmarks/ai_transpile/qasm/qft_12.qasm,,3,tket,wisq_bqskit,qiskit_ai,12,90,150,360,0,0,0,0,0.0,qft_12__tket__wisq_bqskit__qiskit_ai
63,qft_12,63,qft_12,qft,benchmarks/ai_transpile/qasm/qft_12.qasm,,3,tket,wisq_bqskit,qiskit_standard,12,90,150,360,0,0,0,0,0.0,qft_12__tket__wisq_bqskit__qiskit_standard
63,qft_12,63,qft_12,qft,benchmarks/ai_transpile/qasm/qft_12.qasm,,3,tket,wisq_bqskit,tket,12,90,150,360,0,0,0,0,0.0,qft_12__tket__wisq_bqskit__tket
63,qft_12,63,qft_12,qft,benchmarks/ai_transpile/qasm/qft_12.qasm,,3,tket,wisq_bqskit,wisq_rules,12,90,150,360,0,0,0,0,0.0,qft_12__tket__wisq_bqskit__wisq_rules
63,qft_12,63,qft_12,qft,benchmarks/ai_transpile/qasm/qft_12.qasm,,3,tket,wisq_bqskit,wisq_bqskit,12,90,150,360,0,0,0,0,0.0,qft_12__tket__wisq_bqskit__wisq_bqskit
63,qft_12,63,qft_12,qft,benchmarks/ai_transpile/qasm/qft_12.qasm,,3,wisq_rules,qiskit_ai,qiskit_ai,12,90,150,360,0,0,0,0,0.0,qft_12__wisq_rules__qiskit_ai__qiskit_ai
63,qft_12,63,qft_12,qft,benchmarks/ai_transpile/qasm/qft_12.qasm,,3,wisq_rules,qiskit_ai,qiskit_standard,12,90,150,360,0,0,0,0,0.0,qft_12__wisq_rules__qiskit_ai__qiskit_standard
63,qft_12,63,qft_12,qft,benchmarks/ai_transpile/qasm/qft_12.qasm,,3,wisq_rules,qiskit_ai,tket,12,90,150,360,0,0,0,0,0.0,qft_12__wisq_rules__qiskit_ai__tket
63,qft_12,63,qft_12,qft,benchmarks/ai_transpile/qasm/qft_12.qasm,,3,wisq_rules,qiskit_ai,wisq_rules,12,90,150,360,0,0,0,0,0.0,qft_12__wisq_rules__qiskit_ai__wisq_rules
63,qft_12,63,qft_12,qft,benchmarks/ai_transpile/qasm/qft_12.qasm,,3,wisq_rules,qiskit_ai,wisq_bqskit,12,90,150,360,0,0,0,0,0.0,qft_12__wisq_rules__qiskit_ai__wisq_bqskit
63,qft_12,63,qft_12,qft,benchmarks/ai_transpile/qasm/qft_12.qasm,,3,wisq_rules,qiskit_standard,qiskit_ai,12,90,150,360,0,0,0,0,0.0,qft_12__wisq_rules__qiskit_standard__qiskit_ai
63,qft_12,63,qft_12,qft,benchmarks/ai_transpile/qasm/qft_12.qasm,,3,wisq_rules,qiskit_standard,qiskit_standard,12,90,150,360,0,0,0,0,0.0,qft_12__wisq_rules__qiskit_standard__qiskit_standard
63,qft_12,63,qft_12,qft,benchmarks/ai_transpile/qasm/qft_12.qasm,,3,wisq_rules,qiskit_standard,tket,12,90,150,360,0,0,0,0,0.0,qft_12__wisq_rules__qiskit_standard__tket
63,qft_12,63,qft_12,qft,benchmarks/ai_transpile/qasm/qft_12.qasm,,3,wisq_rules,qiskit_standard,wisq_rules,12,90,150,360,0,0,0,0,0.0,qft_12__wisq_rules__qiskit_standard__wisq_rules
63,qft_12,63,qft_12,qft,benchmarks/ai_transpile/qasm/qft_12.qasm,,3,wisq_rules,qiskit_standard,wisq_bqskit,12,90,150,360,0,0,0,0,0.0,qft_12__wisq_rules__qiskit_standard__wisq_bqskit
63,qft_12,63,qft_12,qft,benchmarks/ai_transpile/qasm/qft_12.qasm,,3,wisq_rules,tket,qiskit_ai,12,90,150,360,0,0,0,0,0.0,qft_12__wisq_rules__tket__qiskit_ai
63,qft_12,63,qft_12,qft,benchmarks/ai_transpile/qasm/qft_12.qasm,,3,wisq_rules,tket,qiskit_standard,12,90,150,360,0,0,0,0,0.0,qft_12__wisq_rules__tket__qiskit_standard
63,qft_12,63,qft_12,qft,benchmarks/ai_transpile/qasm/qft_12.qasm,,3,wisq_rules,tket,tket,12,90,150,360,0,0,0,0,0.0,qft_12__wisq_rules__tket__tket
63,qft_12,63,qft_12,qft,benchmarks/ai_transpile/qasm/qft_12.qasm,,3,wisq_rules,tket,wisq_rules,12,90,150,360,0,0,0,0,0.0,qft_12__wisq_rules__tket__wisq_rules
63,qft_12,63,qft_12,qft,benchmarks/ai_transpile/qasm/qft_12.qasm,,3,wisq_rules,tket,wisq_bqskit,12,90,150,360,0,0,0,0,0.0,qft_12__wisq_rules__tket__wisq_bqskit
63,qft_12,63,qft_12,qft,benchmarks/ai_transpile/qasm/qft_12.qasm,,3,wisq_rules,wisq_rules,qiskit_ai,12,90,150,360,0,0,0,0,0.0,qft_12__wisq_rules__wisq_rules__qiskit_ai
